48.40,-125.00
48.39,-125.02
48.38,-125.01
48.37,-125.04
48.36,-125.03
48.35,-125.04
48.34,-125.05
48.33,-125.02
48.32,-125.03
48.31,-125.01
48.30,-125.00
48.28,-124.99
48.29,-124.98
48.26,-124.97
48.27,-124.96
48.26,-124.95
48.25,-124.94
48.28,-124.93
48.27,-124.92
48.29,-124.91
48.30,-124.90
48.31,-124.88
48.32,-124.89
48.33,-124.86
48.34,-124.87
48.35,-124.86
48.36,-124.85
48.37,-124.88
48.38,-124.87
48.39,-124.89
48.40,-124.90
48.42,-124.91
48.41,-124.92
48.44,-124.93
48.43,-124.94
48.44,-124.95
48.45,-124.96
48.42,-124.97
48.43,-124.98
48.41,-124.99
